t=0.000000, y(t)=-4.000000, y'(t)=1.800000, z(t)=-4.000000, z'(t)=5.000000, v(t)=0.000000, v'(t)=-2.000000, X(t)=-4.000000, Y(t)=-4.000000, Z(t)=0.000000
t=0.010000, y(t)=-3.982023, y'(t)=1.795304, z(t)=-3.950087, z'(t)=4.982513, v(t)=-0.019985, v'(t)=-1.997002, X(t)=-3.982023, Y(t)=-3.950087, Z(t)=-0.019985
t=0.020000, y(t)=-3.964094, y'(t)=1.790614, z(t)=-3.900350, z'(t)=4.965052, v(t)=-0.039940, v'(t)=-1.994009, X(t)=-3.964094, Y(t)=-3.900350, Z(t)=-0.039940
t=0.030000, y(t)=-3.946211, y'(t)=1.785932, z(t)=-3.850786, z'(t)=4.947618, v(t)=-0.059865, v'(t)=-1.991020, X(t)=-3.946211, Y(t)=-3.850786, Z(t)=-0.059865
t=0.040000, y(t)=-3.928375, y'(t)=1.781256, z(t)=-3.801397, z'(t)=4.930210, v(t)=-0.079760, v'(t)=-1.988036, X(t)=-3.928375, Y(t)=-3.801397, Z(t)=-0.079760
t=0.050000, y(t)=-3.910586, y'(t)=1.776588, z(t)=-3.752182, z'(t)=4.912827, v(t)=-0.099626, v'(t)=-1.985056, X(t)=-3.910586, Y(t)=-3.752182, Z(t)=-0.099626
t=0.060000, y(t)=-3.892843, y'(t)=1.771927, z(t)=-3.703141, z'(t)=4.895471, v(t)=-0.119462, v'(t)=-1.982081, X(t)=-3.892843, Y(t)=-3.703141, Z(t)=-0.119462
t=0.070000, y(t)=-3.875147, y'(t)=1.767272, z(t)=-3.654273, z'(t)=4.878141, v(t)=-0.139268, v'(t)=-1.979110, X(t)=-3.875147, Y(t)=-3.654273, Z(t)=-0.139268
t=0.080000, y(t)=-3.857498, y'(t)=1.762625, z(t)=-3.605578, z'(t)=4.860837, v(t)=-0.159044, v'(t)=-1.976143, X(t)=-3.857498, Y(t)=-3.605578, Z(t)=-0.159044
t=0.090000, y(t)=-3.839895, y'(t)=1.757984, z(t)=-3.557056, z'(t)=4.843558, v(t)=-0.178790, v'(t)=-1.973181, X(t)=-3.839895, Y(t)=-3.557056, Z(t)=-0.178790
t=0.100000, y(t)=-3.822338, y'(t)=1.753351, z(t)=-3.508706, z'(t)=4.826306, v(t)=-0.198507, v'(t)=-1.970224, X(t)=-3.822338, Y(t)=-3.508706, Z(t)=-0.198507
t=0.110000, y(t)=-3.804828, y'(t)=1.748724, z(t)=-3.460530, z'(t)=4.809079, v(t)=-0.218195, v'(t)=-1.967271, X(t)=-3.804828, Y(t)=-3.460530, Z(t)=-0.218195
t=0.120000, y(t)=-3.787364, y'(t)=1.744105, z(t)=-3.412525, z'(t)=4.791879, v(t)=-0.237853, v'(t)=-1.964322, X(t)=-3.787364, Y(t)=-3.412525, Z(t)=-0.237853
t=0.130000, y(t)=-3.769946, y'(t)=1.739492, z(t)=-3.364692, z'(t)=4.774704, v(t)=-0.257481, v'(t)=-1.961378, X(t)=-3.769946, Y(t)=-3.364692, Z(t)=-0.257481
t=0.140000, y(t)=-3.752574, y'(t)=1.734886, z(t)=-3.317031, z'(t)=4.757555, v(t)=-0.277080, v'(t)=-1.958438, X(t)=-3.752574, Y(t)=-3.317031, Z(t)=-0.277080
t=0.150000, y(t)=-3.735248, y'(t)=1.730287, z(t)=-3.269541, z'(t)=4.740431, v(t)=-0.296650, v'(t)=-1.955502, X(t)=-3.735248, Y(t)=-3.269541, Z(t)=-0.296650
t=0.160000, y(t)=-3.717968, y'(t)=1.725695, z(t)=-3.222222, z'(t)=4.723333, v(t)=-0.316191, v'(t)=-1.952571, X(t)=-3.717968, Y(t)=-3.222222, Z(t)=-0.316191
t=0.170000, y(t)=-3.700734, y'(t)=1.721110, z(t)=-3.175074, z'(t)=4.706261, v(t)=-0.335702, v'(t)=-1.949645, X(t)=-3.700734, Y(t)=-3.175074, Z(t)=-0.335702
t=0.180000, y(t)=-3.683546, y'(t)=1.716532, z(t)=-3.128097, z'(t)=4.689214, v(t)=-0.355183, v'(t)=-1.946722, X(t)=-3.683546, Y(t)=-3.128097, Z(t)=-0.355183
t=0.190000, y(t)=-3.666403, y'(t)=1.711961, z(t)=-3.081290, z'(t)=4.672193, v(t)=-0.374636, v'(t)=-1.943805, X(t)=-3.666403, Y(t)=-3.081290, Z(t)=-0.374636
t=0.200000, y(t)=-3.649307, y'(t)=1.707396, z(t)=-3.034653, z'(t)=4.655198, v(t)=-0.394060, v'(t)=-1.940891, X(t)=-3.649307, Y(t)=-3.034653, Z(t)=-0.394060
t=0.210000, y(t)=-3.632256, y'(t)=1.702838, z(t)=-2.988186, z'(t)=4.638228, v(t)=-0.413454, v'(t)=-1.937982, X(t)=-3.632256, Y(t)=-2.988186, Z(t)=-0.413454
t=0.220000, y(t)=-3.615250, y'(t)=1.698287, z(t)=-2.941888, z'(t)=4.621283, v(t)=-0.432819, v'(t)=-1.935077, X(t)=-3.615250, Y(t)=-2.941888, Z(t)=-0.432819
t=0.230000, y(t)=-3.598290, y'(t)=1.693743, z(t)=-2.895760, z'(t)=4.604364, v(t)=-0.452155, v'(t)=-1.932177, X(t)=-3.598290, Y(t)=-2.895760, Z(t)=-0.452155
t=0.240000, y(t)=-3.581375, y'(t)=1.689206, z(t)=-2.849801, z'(t)=4.587470, v(t)=-0.471463, v'(t)=-1.929281, X(t)=-3.581375, Y(t)=-2.849801, Z(t)=-0.471463
t=0.250000, y(t)=-3.564506, y'(t)=1.684676, z(t)=-2.804010, z'(t)=4.570602, v(t)=-0.490741, v'(t)=-1.926389, X(t)=-3.564506, Y(t)=-2.804010, Z(t)=-0.490741
t=0.260000, y(t)=-3.547681, y'(t)=1.680152, z(t)=-2.758388, z'(t)=4.553758, v(t)=-0.509991, v'(t)=-1.923501, X(t)=-3.547681, Y(t)=-2.758388, Z(t)=-0.509991
t=0.270000, y(t)=-3.530903, y'(t)=1.675635, z(t)=-2.712935, z'(t)=4.536940, v(t)=-0.529211, v'(t)=-1.920618, X(t)=-3.530903, Y(t)=-2.712935, Z(t)=-0.529211
t=0.280000, y(t)=-3.514169, y'(t)=1.671125, z(t)=-2.667650, z'(t)=4.520147, v(t)=-0.548403, v'(t)=-1.917740, X(t)=-3.514169, Y(t)=-2.667650, Z(t)=-0.548403
t=0.290000, y(t)=-3.497480, y'(t)=1.666622, z(t)=-2.622532, z'(t)=4.503380, v(t)=-0.567566, v'(t)=-1.914865, X(t)=-3.497480, Y(t)=-2.622532, Z(t)=-0.567566
t=0.300000, y(t)=-3.480836, y'(t)=1.662125, z(t)=-2.577582, z'(t)=4.486637, v(t)=-0.586700, v'(t)=-1.911995, X(t)=-3.480836, Y(t)=-2.577582, Z(t)=-0.586700
t=0.310000, y(t)=-3.464237, y'(t)=1.657636, z(t)=-2.532799, z'(t)=4.469920, v(t)=-0.605806, v'(t)=-1.909129, X(t)=-3.464237, Y(t)=-2.532799, Z(t)=-0.605806
t=0.320000, y(t)=-3.447684, y'(t)=1.653153, z(t)=-2.488183, z'(t)=4.453228, v(t)=-0.624883, v'(t)=-1.906268, X(t)=-3.447684, Y(t)=-2.488183, Z(t)=-0.624883
t=0.330000, y(t)=-3.431174, y'(t)=1.648676, z(t)=-2.443735, z'(t)=4.436560, v(t)=-0.643931, v'(t)=-1.903410, X(t)=-3.431174, Y(t)=-2.443735, Z(t)=-0.643931
