t=0.000000, y(t)=0.000000, y'(t)=0.789000, z(t)=3.000000, z'(t)=2.000000, v(t)=0.000000, v'(t)=0.000000, X(t)=0.000000, Y(t)=3.000000, Z(t)=0.000000
t=0.050000, y(t)=0.039439, y'(t)=0.788575, z(t)=3.095190, z'(t)=1.812397, v(t)=0.000000, v'(t)=0.000000, X(t)=0.122040, Y(t)=3.092784, Z(t)=0.000000
t=0.100000, y(t)=0.078858, y'(t)=0.788175, z(t)=3.181665, z'(t)=1.650405, v(t)=0.000000, v'(t)=0.000000, X(t)=0.250640, Y(t)=3.171778, Z(t)=0.000000
t=0.150000, y(t)=0.118257, y'(t)=0.787796, z(t)=3.260574, z'(t)=1.509049, v(t)=0.000000, v'(t)=0.000000, X(t)=0.384688, Y(t)=3.237801, Z(t)=0.000000
t=0.200000, y(t)=0.157638, y'(t)=0.787433, z(t)=3.332851, z'(t)=1.384614, v(t)=0.000000, v'(t)=0.000000, X(t)=0.523210, Y(t)=3.291527, Z(t)=0.000000
t=0.250000, y(t)=0.197001, y'(t)=0.787086, z(t)=3.399270, z'(t)=1.274258, v(t)=0.000000, v'(t)=0.000000, X(t)=0.665336, Y(t)=3.333521, Z(t)=0.000000
t=0.300000, y(t)=0.236347, y'(t)=0.786752, z(t)=3.460475, z'(t)=1.175764, v(t)=0.000000, v'(t)=0.000000, X(t)=0.810278, Y(t)=3.364273, Z(t)=0.000000
t=0.350000, y(t)=0.275676, y'(t)=0.786429, z(t)=3.517014, z'(t)=1.087374, v(t)=0.000000, v'(t)=0.000000, X(t)=0.957323, Y(t)=3.384216, Z(t)=0.000000
t=0.400000, y(t)=0.314990, y'(t)=0.786115, z(t)=3.569357, z'(t)=1.007672, v(t)=0.000000, v'(t)=0.000000, X(t)=1.105810, Y(t)=3.393743, Z(t)=0.000000
t=0.450000, y(t)=0.354288, y'(t)=0.785811, z(t)=3.617907, z'(t)=0.935502, v(t)=0.000000, v'(t)=0.000000, X(t)=1.255133, Y(t)=3.393212, Z(t)=0.000000
t=0.500000, y(t)=0.393571, y'(t)=0.785515, z(t)=3.663016, z'(t)=0.869910, v(t)=0.000000, v'(t)=0.000000, X(t)=1.404726, Y(t)=3.382962, Z(t)=0.000000
t=0.550000, y(t)=0.432839, y'(t)=0.785226, z(t)=3.704994, z'(t)=0.810101, v(t)=0.000000, v'(t)=0.000000, X(t)=1.554060, Y(t)=3.363314, Z(t)=0.000000
t=0.600000, y(t)=0.472094, y'(t)=0.784943, z(t)=3.744111, z'(t)=0.755406, v(t)=0.000000, v'(t)=0.000000, X(t)=1.702642, Y(t)=3.334574, Z(t)=0.000000
t=0.650000, y(t)=0.511334, y'(t)=0.784665, z(t)=3.780610, z'(t)=0.705254, v(t)=0.000000, v'(t)=0.000000, X(t)=1.850007, Y(t)=3.297042, Z(t)=0.000000
t=0.700000, y(t)=0.550560, y'(t)=0.784393, z(t)=3.814705, z'(t)=0.659161, v(t)=0.000000, v'(t)=0.000000, X(t)=1.995719, Y(t)=3.251012, Z(t)=0.000000
t=0.750000, y(t)=0.589773, y'(t)=0.784126, z(t)=3.846587, z'(t)=0.616707, v(t)=0.000000, v'(t)=0.000000, X(t)=2.139366, Y(t)=3.196771, Z(t)=0.000000
t=0.800000, y(t)=0.628973, y'(t)=0.783863, z(t)=3.876430, z'(t)=0.577530, v(t)=0.000000, v'(t)=0.000000, X(t)=2.280560, Y(t)=3.134606, Z(t)=0.000000
t=0.850000, y(t)=0.668160, y'(t)=0.783604, z(t)=3.904389, z'(t)=0.541312, v(t)=0.000000, v'(t)=0.000000, X(t)=2.418935, Y(t)=3.064802, Z(t)=0.000000
t=0.900000, y(t)=0.707333, y'(t)=0.783349, z(t)=3.930606, z'(t)=0.507776, v(t)=0.000000, v'(t)=0.000000, X(t)=2.554144, Y(t)=2.987643, Z(t)=0.000000
t=0.950000, y(t)=0.746495, y'(t)=0.783097, z(t)=3.955207, z'(t)=0.476678, v(t)=0.000000, v'(t)=0.000000, X(t)=2.685861, Y(t)=2.903414, Z(t)=0.000000
t=1.000000, y(t)=0.785643, y'(t)=0.782849, z(t)=3.978310, z'(t)=0.447802, v(t)=0.000000, v'(t)=0.000000, X(t)=2.813780, Y(t)=2.812401, Z(t)=0.000000
t=1.050000, y(t)=0.824779, y'(t)=0.782603, z(t)=4.000021, z'(t)=0.420957, v(t)=0.000000, v'(t)=0.000000, X(t)=2.937608, Y(t)=2.714890, Z(t)=0.000000
t=1.100000, y(t)=0.863904, y'(t)=0.782359, z(t)=4.020437, z'(t)=0.395970, v(t)=0.000000, v'(t)=0.000000, X(t)=3.057074, Y(t)=2.611170, Z(t)=0.000000
t=1.150000, y(t)=0.903015, y'(t)=0.782119, z(t)=4.039647, z'(t)=0.372689, v(t)=0.000000, v'(t)=0.000000, X(t)=3.171922, Y(t)=2.501531, Z(t)=0.000000
t=1.200000, y(t)=0.942115, y'(t)=0.781880, z(t)=4.057732, z'(t)=0.350976, v(t)=0.000000, v'(t)=0.000000, X(t)=3.281910, Y(t)=2.386265, Z(t)=0.000000
t=1.250000, y(t)=0.981203, y'(t)=0.781644, z(t)=4.074768, z'(t)=0.330708, v(t)=0.000000, v'(t)=0.000000, X(t)=3.386814, Y(t)=2.265664, Z(t)=0.000000
t=1.300000, y(t)=1.020280, y'(t)=0.781409, z(t)=4.090825, z'(t)=0.311772, v(t)=0.000000, v'(t)=0.000000, X(t)=3.486424, Y(t)=2.140023, Z(t)=0.000000
t=1.350000, y(t)=1.059344, y'(t)=0.781177, z(t)=4.105966, z'(t)=0.294068, v(t)=0.000000, v'(t)=0.000000, X(t)=3.580545, Y(t)=2.009640, Z(t)=0.000000
t=1.400000, y(t)=1.098398, y'(t)=0.780946, z(t)=4.120251, z'(t)=0.277502, v(t)=0.000000, v'(t)=0.000000, X(t)=3.668998, Y(t)=1.874812, Z(t)=0.000000
t=1.450000, y(t)=1.137439, y'(t)=0.780717, z(t)=4.133734, z'(t)=0.261993, v(t)=0.000000, v'(t)=0.000000, X(t)=3.751616, Y(t)=1.735838, Z(t)=0.000000
t=1.500000, y(t)=1.176469, y'(t)=0.780489, z(t)=4.146466, z'(t)=0.247462, v(t)=0.000000, v'(t)=0.000000, X(t)=3.828247, Y(t)=1.593019, Z(t)=0.000000
t=1.550000, y(t)=1.215488, y'(t)=0.780263, z(t)=4.158495, z'(t)=0.233841, v(t)=0.000000, v'(t)=0.000000, X(t)=3.898753, Y(t)=1.446655, Z(t)=0.000000
t=1.600000, y(t)=1.254495, y'(t)=0.780038, z(t)=4.169865, z'(t)=0.221065, v(t)=0.000000, v'(t)=0.000000, X(t)=3.963008, Y(t)=1.297049, Z(t)=0.000000
t=1.650000, y(t)=1.293492, y'(t)=0.779814, z(t)=4.180615, z'(t)=0.209076, v(t)=0.000000, v'(t)=0.000000, X(t)=4.020902, Y(t)=1.144503, Z(t)=0.000000
t=1.700000, y(t)=1.332477, y'(t)=0.779591, z(t)=4.190784, z'(t)=0.197820, v(t)=0.000000, v'(t)=0.000000, X(t)=4.072336, Y(t)=0.989318, Z(t)=0.000000
