t=0.000000, y(t)=0.000000, y'(t)=0.370000, z(t)=0.000000, z'(t)=-2.150000, v(t)=0.250000, v'(t)=0.000000, X(t)=0.000000, Y(t)=-3.250000, Z(t)=0.000000
t=0.050000, y(t)=0.018465, y'(t)=0.368615, z(t)=-0.107321, z'(t)=-2.141952, v(t)=0.234564, v'(t)=-0.610553, X(t)=-0.346412, Y(t)=-3.215954, Z(t)=-0.006397
t=0.100000, y(t)=0.036862, y'(t)=0.367235, z(t)=-0.214107, z'(t)=-2.128612, v(t)=0.190263, v'(t)=-1.142726, X(t)=-0.677390, Y(t)=-3.117418, Z(t)=-0.024981
t=0.150000, y(t)=0.055189, y'(t)=0.365861, z(t)=-0.320096, z'(t)=-2.110119, v(t)=0.122709, v'(t)=-1.531248, X(t)=-0.981089, Y(t)=-2.964091, Z(t)=-0.054200
t=0.200000, y(t)=0.073448, y'(t)=0.364491, z(t)=-0.425036, z'(t)=-2.086675, v(t)=0.040352, v'(t)=-1.728901, X(t)=-1.250321, Y(t)=-2.769833, Z(t)=-0.091999
t=0.250000, y(t)=0.091638, y'(t)=0.363127, z(t)=-0.528686, z'(t)=-2.058548, v(t)=-0.046572, v'(t)=-1.712250, X(t)=-1.483455, Y(t)=-2.550198, Z(t)=-0.136323
t=0.300000, y(t)=0.109761, y'(t)=0.361768, z(t)=-0.630818, z'(t)=-2.026057, v(t)=-0.127317, v'(t)=-1.484422, X(t)=-1.684129, Y(t)=-2.319822, Z(t)=-0.185597
t=0.350000, y(t)=0.127815, y'(t)=0.360414, z(t)=-0.731225, z'(t)=-1.989564, v(t)=-0.191949, v'(t)=-1.074579, X(t)=-1.859869, Y(t)=-2.090193, Z(t)=-0.239022
t=0.400000, y(t)=0.145802, y'(t)=0.359065, z(t)=-0.829715, z'(t)=-1.949468, v(t)=-0.232575, v'(t)=-0.534199, X(t)=-2.019974, Y(t)=-1.868251, Z(t)=-0.296621
t=0.450000, y(t)=0.163722, y'(t)=0.357721, z(t)=-0.926118, z'(t)=-1.906186, v(t)=-0.244303, v'(t)=0.069393, X(t)=-2.173156, Y(t)=-1.656012, Z(t)=-0.359006
t=0.500000, y(t)=0.181574, y'(t)=0.356382, z(t)=-1.020287, z'(t)=-1.860153, v(t)=-0.225829, v'(t)=0.661408, X(t)=-2.325443, Y(t)=-1.451227, Z(t)=-0.426943
