t=0.000000, y(t)=0.000000, y'(t)=2.000000, z(t)=1.800000, z'(t)=0.000000, v(t)=0.000000, v'(t)=0.900000, X(t)=0.000000, Y(t)=3.600000, Z(t)=3.600000
t=0.020000, y(t)=0.039921, y'(t)=1.992116, z(t)=1.799996, z'(t)=-0.000399, v(t)=0.017916, v'(t)=0.889232, X(t)=0.186779, Y(t)=3.617908, Z(t)=3.597124
t=0.040000, y(t)=0.079686, y'(t)=1.984463, z(t)=1.799984, z'(t)=-0.000797, v(t)=0.035475, v'(t)=0.864319, X(t)=0.372533, Y(t)=3.635443, Z(t)=3.588544
t=0.060000, y(t)=0.119301, y'(t)=1.977039, z(t)=1.799964, z'(t)=-0.001193, v(t)=0.052397, v'(t)=0.825714, X(t)=0.556993, Y(t)=3.652326, Z(t)=3.574340
t=0.080000, y(t)=0.158769, y'(t)=1.969842, z(t)=1.799936, z'(t)=-0.001587, v(t)=0.068416, v'(t)=0.774088, X(t)=0.739896, Y(t)=3.668289, Z(t)=3.554596
t=0.100000, y(t)=0.198096, y'(t)=1.962867, z(t)=1.799901, z'(t)=-0.001980, v(t)=0.083280, v'(t)=0.710316, X(t)=0.920987, Y(t)=3.683081, Z(t)=3.529400
t=0.120000, y(t)=0.237285, y'(t)=1.956109, z(t)=1.799857, z'(t)=-0.002371, v(t)=0.096755, v'(t)=0.635463, X(t)=1.100017, Y(t)=3.696469, Z(t)=3.498849
t=0.140000, y(t)=0.276342, y'(t)=1.949562, z(t)=1.799806, z'(t)=-0.002761, v(t)=0.108633, v'(t)=0.550768, X(t)=1.276744, Y(t)=3.708244, Z(t)=3.463042
t=0.160000, y(t)=0.315269, y'(t)=1.943220, z(t)=1.799747, z'(t)=-0.003149, v(t)=0.118729, v'(t)=0.457621, X(t)=1.450935, Y(t)=3.718223, Z(t)=3.422085
t=0.180000, y(t)=0.354072, y'(t)=1.937074, z(t)=1.799680, z'(t)=-0.003536, v(t)=0.126891, v'(t)=0.357540, X(t)=1.622361, Y(t)=3.726251, Z(t)=3.376087
t=0.200000, y(t)=0.392753, y'(t)=1.931116, z(t)=1.799605, z'(t)=-0.003921, v(t)=0.132996, v'(t)=0.252149, X(t)=1.790801, Y(t)=3.732206, Z(t)=3.325162
t=0.220000, y(t)=0.431318, y'(t)=1.925336, z(t)=1.799523, z'(t)=-0.004305, v(t)=0.136953, v'(t)=0.143150, X(t)=1.956041, Y(t)=3.735999, Z(t)=3.269430
t=0.240000, y(t)=0.469768, y'(t)=1.919723, z(t)=1.799433, z'(t)=-0.004687, v(t)=0.138709, v'(t)=0.032296, X(t)=2.117873, Y(t)=3.737575, Z(t)=3.209013
t=0.260000, y(t)=0.508108, y'(t)=1.914265, z(t)=1.799336, z'(t)=-0.005067, v(t)=0.138244, v'(t)=-0.078638, X(t)=2.276096, Y(t)=3.736916, Z(t)=3.144039
t=0.280000, y(t)=0.546340, y'(t)=1.908952, z(t)=1.799230, z'(t)=-0.005446, v(t)=0.135575, v'(t)=-0.187883, X(t)=2.430516, Y(t)=3.734036, Z(t)=3.074640
t=0.300000, y(t)=0.584467, y'(t)=1.903769, z(t)=1.799118, z'(t)=-0.005824, v(t)=0.130752, v'(t)=-0.293703, X(t)=2.580946, Y(t)=3.728987, Z(t)=3.000952
